City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.22,-51.1,35.6,74,85,2.24,GL,1590286340
1,rikitea,-23.12,-134.97,71.02,67,100,20.58,PF,1590286522
2,new norfolk,-42.78,147.06,53.01,80,94,1.99,AU,1590286523
3,puerto ayora,-0.74,-90.35,73.99,91,12,1.99,EC,1590286524
4,dikson,73.51,80.55,40.14,87,52,13.56,RU,1590286524
5,saint-philippe,-21.36,55.77,68.0,68,40,10.29,RE,1590286524
6,qaanaaq,77.48,-69.36,23.43,91,0,0.54,GL,1590286525
7,ibirapitanga,-14.16,-39.37,70.25,96,10,1.36,BR,1590286526
8,avarua,-21.21,-159.78,78.8,88,71,4.7,CK,1590286410
9,cherskiy,68.75,161.3,37.33,71,15,10.27,RU,1590286526
10,butaritari,3.07,172.79,83.19,73,100,7.85,KI,1590286508
11,albany,42.6,-73.97,66.2,25,20,9.17,US,1590286510
12,hermanus,-34.42,19.23,58.93,76,0,7.43,ZA,1590286527
13,chokurdakh,70.63,147.92,31.64,99,89,3.94,RU,1590286529
14,busselton,-33.65,115.33,62.01,34,100,30.22,AU,1590286529
15,khatanga,71.97,102.5,60.87,62,0,2.55,RU,1590286529
16,cape town,-33.93,18.42,54.0,100,2,4.7,ZA,1590286500
17,skibbereen,51.55,-9.27,48.2,93,20,10.29,IE,1590286530
18,preston,53.77,-2.72,54.0,86,100,14.0,GB,1590286530
19,ponta do sol,32.67,-17.1,75.2,41,20,21.92,PT,1590286530
20,atuona,-9.8,-139.03,80.98,75,5,17.56,PF,1590286531
21,saldanha,-33.01,17.94,46.4,93,0,2.24,ZA,1590286531
22,mar del plata,-38.0,-57.56,51.01,87,100,3.36,AR,1590286531
23,chuy,-33.7,-53.46,55.54,84,49,12.41,UY,1590286531
24,mataura,-46.19,168.86,52.29,85,93,1.9,NZ,1590286532
25,touros,-5.2,-35.46,75.2,100,75,3.36,BR,1590286532
26,riyadh,24.69,46.72,77.0,25,0,2.24,SA,1590286532
27,bambous virieux,-20.34,57.76,69.8,88,20,9.17,MU,1590286532
28,fortuna,40.6,-124.16,60.01,71,40,11.41,US,1590286533
29,lebu,-37.62,-73.65,53.08,80,24,3.47,CL,1590286489
30,punta arenas,-53.15,-70.92,46.4,93,90,9.17,CL,1590286534
31,vaini,-21.2,-175.2,78.8,83,40,6.93,TO,1590286534
32,port alfred,-33.59,26.89,57.99,86,3,1.99,ZA,1590286241
33,brae,60.4,-1.35,48.2,100,100,17.22,GB,1590286534
34,zyryanka,65.75,150.85,46.31,53,100,7.18,RU,1590286534
35,bereda,43.27,-7.54,53.01,96,100,5.01,ES,1590286535
36,zhezkazgan,47.8,67.71,74.03,46,0,15.86,KZ,1590286535
37,barrow,71.29,-156.79,33.8,86,90,13.87,US,1590286535
38,hobart,-42.88,147.33,53.01,93,75,13.87,AU,1590286395
39,ribeira grande,38.52,-28.7,64.67,92,98,13.06,PT,1590286537
40,port elizabeth,-33.92,25.57,51.8,93,0,3.36,ZA,1590286538
41,berlevag,70.86,29.09,44.55,65,4,19.98,NO,1590286538
42,caborca,30.58,-111.1,81.0,14,0,7.0,MX,1590286538
43,flin flon,54.77,-101.86,53.02,60,55,9.93,CA,1590286538
44,naliya,23.27,68.83,83.64,75,0,14.85,IN,1590286539
45,solenzo,12.18,-4.08,87.96,48,40,10.87,BF,1590286539
46,cidreira,-30.18,-50.21,60.1,86,98,15.5,BR,1590286539
47,pevek,69.7,170.31,30.9,95,36,4.03,RU,1590286539
48,parintins,-2.63,-56.74,75.34,98,90,2.55,BR,1590286539
49,iqaluit,63.75,-68.51,24.8,79,90,18.34,CA,1590286540
50,tuktoyaktuk,69.45,-133.04,39.2,69,5,16.11,CA,1590286541
51,cockburn town,21.46,-71.14,80.78,83,94,16.89,TC,1590286541
52,venado,22.93,-101.08,77.09,30,24,14.41,MX,1590286541
53,kavaratti,10.57,72.64,84.92,76,92,12.59,IN,1590286541
54,tawau,4.25,117.89,89.6,75,20,8.05,MY,1590286542
55,kodiak,57.79,-152.41,46.4,87,90,13.87,US,1590286542
56,sur,22.57,59.53,84.25,68,0,11.48,OM,1590286542
57,ushuaia,-54.8,-68.3,39.2,86,90,26.4,AR,1590286543
58,gallipoli,40.41,26.67,53.06,68,0,4.16,TR,1590286543
59,airai,-8.93,125.41,68.0,93,84,2.86,TL,1590286543
60,lompoc,34.64,-120.46,60.01,77,1,13.87,US,1590286544
61,susehri,40.16,38.09,40.46,81,100,4.41,TR,1590286544
62,jimenez,28.33,-105.4,91.4,5,5,8.05,MX,1590286544
63,hilo,19.73,-155.09,84.2,54,1,13.87,US,1590286369
64,bluff,-46.6,168.33,50.99,88,99,1.52,NZ,1590286546
65,majene,-3.54,118.97,86.99,61,67,1.66,ID,1590286546
66,east london,-33.02,27.91,62.6,75,0,7.34,ZA,1590286298
67,rondonopolis,-16.47,-54.64,58.17,78,97,5.77,BR,1590286547
68,balsas,-7.53,-46.04,76.55,73,8,2.06,BR,1590286547
69,castro,-24.79,-50.01,47.48,85,67,8.77,BR,1590286396
70,dakar,14.69,-17.44,69.8,88,75,6.93,SN,1590286315
71,douentza,15.0,-2.95,75.51,18,0,2.95,ML,1590286548
72,leningradskiy,69.38,178.42,30.65,96,100,10.36,RU,1590286548
73,kapaa,22.08,-159.32,80.6,74,40,11.41,US,1590286549
74,porto velho,-8.76,-63.9,71.6,78,40,8.05,BR,1590286549
75,hithadhoo,-0.6,73.08,83.7,76,95,12.46,MV,1590286550
